Test Function,Model,Number of Samples,Coefficient of Determination,MAPE
3,BasicGPRegression,195,0.5766987800598145,72424870000000.0
4,BasicGPRegression,5,0.9981640577316284,28.806713
4,BasicGPRegression,10,0.9314311742782593,496.53796
4,BasicGPRegression,15,0.99736487865448,31.739931
4,BasicGPRegression,20,0.9814931750297546,152.76288
4,BasicGPRegression,25,0.9657412767410278,226.65413
4,BasicGPRegression,30,0.9985812306404114,27.777168
4,BasicGPRegression,35,0.9719220399856567,224.48062
4,BasicGPRegression,40,0.9814199805259705,156.56136
4,BasicGPRegression,45,0.9968152642250061,40.273567
4,BasicGPRegression,50,0.9933621287345886,71.703064
4,BasicGPRegression,55,0.9982483386993408,29.247204
4,BasicGPRegression,60,0.9843601584434509,131.41486
4,BasicGPRegression,65,0.9964802861213684,46.803158
4,BasicGPRegression,70,0.9921252727508545,78.43286
4,BasicGPRegression,75,0.9951654672622681,64.41685
4,BasicGPRegression,80,0.9952107667922974,64.01845
4,BasicGPRegression,85,0.9999408721923828,2.0306983
4,BasicGPRegression,90,0.9999455213546753,1.7919254
4,BasicGPRegression,95,0.9998159408569336,4.312082
4,BasicGPRegression,100,0.9995373487472534,10.535752
4,BasicGPRegression,105,0.9966667294502258,44.002346
4,BasicGPRegression,110,0.9982652068138123,29.393915
4,BasicGPRegression,115,0.999973475933075,1.0978317
4,BasicGPRegression,120,0.9970492720603943,36.325314
4,BasicGPRegression,125,0.9979845285415649,28.918541
4,BasicGPRegression,130,0.9983816742897034,29.429419
4,BasicGPRegression,135,0.999921977519989,2.6859317
4,BasicGPRegression,140,0.999988853931427,0.68773127
4,BasicGPRegression,145,0.999358594417572,9.383623
4,BasicGPRegression,150,0.9999809861183167,0.9822524
4,BasicGPRegression,155,0.9970801472663879,36.613636
4,BasicGPRegression,160,0.9998695850372314,3.1914954
4,BasicGPRegression,165,0.9995781183242798,10.566047
4,BasicGPRegression,170,0.9999999403953552,0.061955787
4,BasicGPRegression,175,0.999354362487793,9.51845
4,BasicGPRegression,180,0.997762143611908,27.486063
4,BasicGPRegression,185,0.9999996423721313,0.11750182
4,BasicGPRegression,190,0.9998593330383301,3.2842267
4,BasicGPRegression,195,0.9999995231628418,0.12780178
